year,destino,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109
2015,Descarte,0,0,0,0,0,0,0,0.0023245002324500234,0.003719200371920037,0.0041841004184100415,0.02185030218503022,0.08554160855416086,0.09065550906555091,0.15248721524872152,0.1306369130636913,0.09112040911204092,0.06183170618317062,0.055323105532310554,0.03812180381218038,0.04184100418410042,0.05578800557880056,0.052533705253370526,0.03812180381218038,0.027429102742910275,0.025569502556950254,0.007438400743840074,0.011622501162250116,9.298000929800093e-4,9.298000929800093e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Comercial,0,0,0,0,0,0,0,0,4.8508367693427115e-4,2.4254183846713557e-4,0.0014552510308028135,0.002425418384671356,0.0026679602231384912,0.002910502061605627,0.004608294930875576,0.003638127577007034,0.002425418384671356,0.00218287654620422,0.0026679602231384912,0.00218287654620422,0.0026679602231384912,0.0031530439000727628,0.002425418384671356,0.004850836769342712,0.005821004123211254,0.010671840892553965,0.011884550084889643,0.020130972592772252,0.02619451855445064,0.053601746301236965,0.0907106475867087,0.1336405529953917,0.1513461072034926,0.14698035411108415,0.10841620179480961,0.055056997332039774,0.035653650254668934,0.027649769585253458,0.021101139946640795,0.01212709192335678,0.010914382731021102,0.007033713315546932,0.007276255154014068,0.0041232112539413045,0.0041232112539413045,0.0031530439000727628,0.003395585738539898,0.002910502061605627,0.003395585738539898,2.4254183846713557e-4,2.4254183846713557e-4,2.4254183846713557e-4,4.8508367693427115e-4,4.8508367693427115e-4,0
2016,Descarte,0,0,0,0,0,0.003937007874015748,0.011811023622047244,0.047244094488188976,0.04330708661417323,0.05905511811023622,0.10236220472440945,0.16535433070866143,0.17716535433070865,0.12598425196850394,0.07480314960629922,0.06299212598425197,0.05905511811023622,0.031496062992125984,0.027559055118110236,0.003937007874015748,0,0,0,0.003937007874015748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Comercial,0,0,0,0,0,0,8.413967185527977e-4,0.004627681952040387,0.002524190155658393,0.004627681952040387,0.007572570466975179,0.011358855700462769,0.015986537652503154,0.008413967185527976,0.0033655868742111907,0.005048380311316786,0.005889777029869584,0.002944888514934792,0.005889777029869584,0.009255363904080775,0.008834665544804375,0.007993268826251577,0.009676062263357174,0.014724442574673959,0.04669751787968027,0.11148506520824569,0.1804795961295751,0.1846865797223391,0.13167858645351282,0.06394615061001262,0.03954564577198149,0.026503996634413125,0.02440050483803113,0.011358855700462769,0.01430374421539756,0.01093815734118637,0.008413967185527976,0.002103491796381994,0.005048380311316786,0.004627681952040387,0.0012620950778291964,0.002103491796381994,4.2069835927639884e-4,4.2069835927639884e-4,0,0,0,0,0,0,0,0,0,0,0
2017,Comercial,0,0,0,0,0,0,0,4.192872117400419e-4,0,4.192872117400419e-4,4.192872117400419e-4,4.192872117400419e-4,0,0,0,0,0,0.013836477987421384,0.02012578616352201,0.018867924528301886,0.009643605870020965,0.005870020964360587,0.008385744234800839,0.014255765199161425,0.02431865828092243,0.08427672955974842,0.13333333333333333,0.17568134171907757,0.17568134171907757,0.129979035639413,0.0830188679245283,0.04318658280922432,0.018029350104821804,0.007966457023060796,0.00880503144654088,0.007966457023060796,0.004612159329140462,0.005031446540880503,0.0016771488469601676,4.192872117400419e-4,0,0.0012578616352201257,0,0.0012578616352201257,8.385744234800838e-4,0,0,0,0,0,0,0,0,0,0
2017,Descarte,0,0,0,0,0,0.0013440860215053765,0,0,0.004032258064516129,0.01478494623655914,0.06317204301075269,0.1532258064516129,0.23521505376344087,0.1693548387096774,0.10080645161290322,0.0967741935483871,0.10080645161290322,0.05510752688172043,0.0013440860215053765,0,0,0,0,0,0,0,0,0,0.004032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Comercial,0,0,0,0,0,0,0,0,0,0,4.3975373790677223e-4,0,0,4.3975373790677223e-4,0.0013192612137203166,0.002638522427440633,0.012313104661389622,0.014511873350923483,0.018909410729991204,0.03518029903254178,0.040897097625329816,0.0505716798592788,0.05716798592788039,0.048372911169744945,0.0681618293755497,0.06156552330694811,0.0743183817062445,0.09674582233948989,0.10510114335971855,0.09410729991204925,0.07475813544415127,0.040897097625329816,0.024626209322779244,0.018469656992084433,0.012752858399296393,0.006156552330694811,0.005277044854881266,0.007475813544415127,0.007036059806508356,0.0079155672823219,0.0043975373790677225,0.0030782761653474055,0.0030782761653474055,8.795074758135445e-4,4.3975373790677223e-4,0,0,0,0,0,0,0,0,0,0
2018,Descarte,0,0,0,0,0,0,0,0,0.002061855670103093,0.012371134020618556,0.03505154639175258,0.032989690721649485,0.04536082474226804,0.13402061855670103,0.19175257731958764,0.15257731958762888,0.1154639175257732,0.09072164948453608,0.05360824742268041,0.06391752577319587,0.0288659793814433,0.018556701030927835,0.002061855670103093,0.006185567010309278,0.002061855670103093,0.002061855670103093,0.002061855670103093,0.002061855670103093,0.002061855670103093,0,0.002061855670103093,0,0,0,0,0,0,0,0.002061855670103093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Comercial,0,0,0,0,0,0,0,0,0,0,0.0016155088852988692,0.002154011847065159,0.006462035541195477,0.010231556273559504,0.015616585891222402,0.01938610662358643,0.025848142164781908,0.03500269251480883,0.03823371028540657,0.05977382875605816,0.07862143241787829,0.08023694130317717,0.09262250942380183,0.09531502423263329,0.0732364028002154,0.05654281098546042,0.053850296176628974,0.05061927840603123,0.05061927840603123,0.03823371028540657,0.03338718362950996,0.01992460958535272,0.014539579967689823,0.011847065158858373,0.009154550350026925,0.005385029617662897,0.0059235325794291865,0.0010770059235325794,5.385029617662897e-4,0.002154011847065159,0.004308023694130318,0.003769520732364028,0.002154011847065159,0.0010770059235325794,5.385029617662897e-4,0,0,0,0,0,0,0,0,0,0
2019,Descarte,0,0,0,0,0,0,0,0.006172839506172839,0.0030864197530864196,0.012345679012345678,0.043209876543209874,0.16358024691358025,0.18518518518518517,0.1419753086419753,0.06172839506172839,0.040123456790123455,0.04938271604938271,0.027777777777777776,0.024691358024691357,0.033950617283950615,0.015432098765432098,0.009259259259259259,0.0030864197530864196,0,0.009259259259259259,0.006172839506172839,0.006172839506172839,0.024691358024691357,0.024691358024691357,0.021604938271604937,0.018518518518518517,0.030864197530864196,0,0.018518518518518517,0.006172839506172839,0,0.0030864197530864196,0.006172839506172839,0.0030864197530864196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Descarte,0,0,0,0,0,0,0.005025125628140704,0.010050251256281407,0.005025125628140704,0,0,0.01507537688442211,0.020100502512562814,0.035175879396984924,0.06030150753768844,0.11055276381909548,0.1407035175879397,0.1507537688442211,0.16080402010050251,0.08542713567839195,0.04522613065326633,0.03015075376884422,0.02512562814070352,0.01507537688442211,0.010050251256281407,0.020100502512562814,0.01507537688442211,0.005025125628140704,0.005025125628140704,0,0.005025125628140704,0.005025125628140704,0,0.010050251256281407,0,0.005025125628140704,0,0,0,0.005025125628140704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Comercial,0,0,0,0,0,0,0,0,0,6.821282401091405e-4,6.821282401091405e-4,0.001364256480218281,0.0047748976807639835,0.002728512960436562,0.002728512960436562,0.008185538881309686,0.013642564802182811,0.019099590723055934,0.030695770804911322,0.04024556616643929,0.045020463847203276,0.07094133697135062,0.06821282401091405,0.08321964529331514,0.1077762619372442,0.11391541609822646,0.09618008185538882,0.06821282401091405,0.05115961800818554,0.045020463847203276,0.032060027285129605,0.022510231923601638,0.017053206002728513,0.011596180081855388,0.01432469304229195,0.008867667121418827,0.006139154160982265,0.0047748976807639835,6.821282401091405e-4,6.821282401091405e-4,6.821282401091405e-4,0.002728512960436562,6.821282401091405e-4,0.002728512960436562,0,0,0,0,0,0,0,0,0,0,0
2021,Comercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005886200130804447,0.01962066710268149,0.051013734466971876,0.08306082406801832,0.10856769130150425,0.12034009156311315,0.144538914323087,0.13211249182472204,0.09548724656638326,0.06474820143884892,0.031393067364290386,0.030739045127534337,0.015696533682145193,0.01765860039241334,0.010464355788096796,0.009810333551340745,0.005886200130804447,0.007848266841072597,0.009156311314584695,0.007194244604316547,0.007848266841072597,0.005232177894048398,0.005232177894048398,0.001962066710268149,0.001962066710268149,0.0032701111837802484,0.001962066710268149,0.0013080444735120995,0,0,0,0,0,0,0,0,0,0
2021,Descarte,0,0,0,0.0035842293906810036,0,0,0,0.0035842293906810036,0.0035842293906810036,0.0035842293906810036,0.007168458781362007,0.025089605734767026,0.03942652329749104,0.03942652329749104,0.05017921146953405,0.11827956989247312,0.13620071684587814,0.1935483870967742,0.14695340501792115,0.16845878136200718,0.06093189964157706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Comercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001095290251916758,0.004381161007667032,0.008762322015334063,0.008762322015334063,0.02628696604600219,0.033953997809419496,0.061336254107338443,0.07886089813800658,0.11281489594742607,0.15224534501642936,0.18838992332968238,0.10624315443592552,0.07447973713033954,0.03614457831325301,0.03176341730558598,0.0208105147864184,0.0032858707557502738,0.0032858707557502738,0.008762322015334063,0.004381161007667032,0.00547645125958379,0.0032858707557502738,0.0065717415115005475,0.001095290251916758,0.0076670317634173054,0.002190580503833516,0.002190580503833516,0.001095290251916758,0.002190580503833516,0.001095290251916758,0,0.001095290251916758,0,0,0,0,0,0,0,0
2022,Descarte,0,0,0,0,0,0,0,0,0,0.01694915254237288,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.05084745762711865,0.0847457627118644,0.06779661016949153,0.1016949152542373,0.23728813559322035,0.0847457627118644,0.03389830508474576,0.03389830508474576,0.05084745762711865,0.03389830508474576,0.1016949152542373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Comercial,0,0,0,0,0,0,0,0,0,0.001483679525222552,0.001483679525222552,0.001483679525222552,0.008160237388724036,0.0066765578635014835,0.0066765578635014835,0.002225519287833828,0.002225519287833828,0.00370919881305638,0.004451038575667656,0.004451038575667656,0.0066765578635014835,0.017062314540059347,0.030415430267062313,0.064540059347181,0.10905044510385757,0.12685459940652818,0.13056379821958458,0.09421364985163205,0.06750741839762611,0.05489614243323442,0.02967359050445104,0.028931750741839762,0.02744807121661721,0.014094955489614243,0.012611275964391691,0.020771513353115726,0.016320474777448073,0.016320474777448073,0.013353115727002967,0.014094955489614243,0.010385756676557863,0.01483679525222552,0.015578635014836795,0.008902077151335312,0.002967359050445104,0.005934718100890208,0.002967359050445104,0,0,0,0,0,0,0,0
2023,Descarte,0,0,0,0,0,0,0,0.011904761904761904,0.011904761904761904,0.05952380952380952,0.023809523809523808,0.13095238095238096,0.11904761904761904,0.08333333333333333,0.14285714285714285,0.05952380952380952,0.09523809523809523,0.10714285714285714,0.03571428571428571,0.023809523809523808,0.011904761904761904,0.011904761904761904,0.03571428571428571,0.011904761904761904,0.011904761904761904,0.011904761904761904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
